cores,input,average_runtime,speedup,efficiency,mem_ram,freq_mem,freq_cpu,mem_l3
29,0,39.53126895427704,0.3849334590009607,0.013273567551757267,128,2133,2.3,40
28,0,39.495412826538086,0.38528292295865,0.013760104391380357,128,2133,2.3,40
27,0,38.69789969921112,0.3932231003631796,0.014563818531969615,128,2133,2.3,40
26,0,38.94247341156006,0.39075350803860387,0.015028981078407841,128,2133,2.3,40
25,0,38.84533441066742,0.3917306499770638,0.01566922599908255,128,2133,2.3,40
24,0,38.799853920936584,0.3921898295873747,0.016341242899473946,128,2133,2.3,40
23,0,39.39587652683258,0.38625636586364304,0.016793755037549696,128,2133,2.3,40
22,0,39.49053728580475,0.3853304903688159,0.01751502228949163,128,2133,2.3,40
21,0,39.53925347328186,0.3848557259066558,0.01832646313841218,128,2133,2.3,40
20,0,39.00808882713318,0.3900962224707251,0.019504811123536255,128,2133,2.3,40
19,0,39.893861055374146,0.38143482968834536,0.020075517352018176,128,2133,2.3,40
18,0,39.397035241127014,0.38624500559834124,0.021458055866574514,128,2133,2.3,40
17,0,39.580078125,0.3844587686060094,0.022615221682706438,128,2133,2.3,40
16,0,38.741143107414246,0.3927841792142409,0.024549011200890057,128,2133,2.3,40
15,0,38.76131856441498,0.3925797331166414,0.026171982207776095,128,2133,2.3,40
14,0,39.85681760311127,0.3817893402527778,0.0272706671609127,128,2133,2.3,40
13,0,39.04025399684906,0.389774823147803,0.029982678703677153,128,2133,2.3,40
12,0,39.033944845199585,0.38983782340253353,0.03248648528354446,128,2133,2.3,40
11,0,39.04956638813019,0.3896818711383336,0.03542562464893942,128,2133,2.3,40
10,0,39.0053915977478,0.39012319769007997,0.039012319769008,128,2133,2.3,40
9,0,39.235116958618164,0.38783898906983355,0.04309322100775928,128,2133,2.3,40
8,0,38.97232460975647,0.390454206918355,0.04880677586479437,128,2133,2.3,40
7,0,39.068047881126404,0.3894975286087527,0.055642504086964674,128,2133,2.3,40
6,0,39.485450863838196,0.3853801277270761,0.06423002128784601,128,2133,2.3,40
5,0,39.58512771129608,0.38440972600234474,0.07688194520046895,128,2133,2.3,40
4,0,40.607061982154846,0.3747355103886699,0.09368387759716748,128,2133,2.3,40
3,0,41.52263116836548,0.36647263598411695,0.12215754532803898,128,2133,2.3,40
2,0,41.432292222976685,0.3672716927022557,0.18363584635112784,128,2133,2.3,40
1,0,42.19862198829651,0.36060201448017554,0.36060201448017554,128,2133,2.3,40
32,0,19.467278122901917,0.7816659319910524,0.024427060374720387,128,2133,2.3,40
16,0,23.853875041007996,0.6379218500603049,0.039870115628769055,128,2133,2.3,40
8,0,33.88067293167114,0.44913240442289487,0.05614155055286186,128,2133,2.3,40
4,0,53.942973375320435,0.28209249778265044,0.07052312444566261,128,2133,2.3,40
2,0,94.7945466041565,0.160525142451601,0.0802625712258005,128,2133,2.3,40
1,0,178.543851852417,0.08522784704928027,0.08522784704928027,128,2133,2.3,40
32,0,9.314159989356995,1.6337391793414593,0.0510543493544206,128,2133,2.3,40
30,0,9.38755977153778,1.6209652420433496,0.05403217473477832,128,2133,2.3,40
28,0,9.064147114753723,1.6788019771323626,0.05995721346901295,128,2133,2.3,40
26,0,9.328798651695251,1.631175531321163,0.06273752043542935,128,2133,2.3,40
24,0,9.069346308708191,1.6778395685096072,0.06990998202123364,128,2133,2.3,40
22,0,9.106181979179382,1.6710524929173936,0.07595693149624516,128,2133,2.3,40
20,0,9.059656739234924,1.6796340673004568,0.08398170336502284,128,2133,2.3,40
18,0,8.585163116455078,1.7724658100090245,0.09847032277827913,128,2133,2.3,40
16,0,8.237564325332642,1.8472581817019895,0.11545363635637435,128,2133,2.3,40
14,0,9.002914428710938,1.6902202301000822,0.12073001643572015,128,2133,2.3,40
12,0,9.924250602722168,1.5333055065229042,0.1277754588769087,128,2133,2.3,40
10,0,11.467091917991638,1.327006725514437,0.13270067255144372,128,2133,2.3,40
8,0,13.976526737213135,1.088747468049515,0.13609343350618938,128,2133,2.3,40
6,0,18.150951504707336,0.8383531900969897,0.1397255316828316,128,2133,2.3,40
4,0,26.81282675266266,0.5675234557563398,0.14188086393908494,128,2133,2.3,40
2,0,60.882001876831055,0.2499409945167723,0.12497049725838615,128,2133,2.3,40
32,0,17.301957488059998,0.8794905494229928,0.027484079669468524,128,2133,2.3,40
16,0,28.54336905479431,0.5331153469674678,0.033319709185466735,128,2133,2.3,40
8,0,47.26297044754028,0.3219625840943962,0.040245323011799526,128,2133,2.3,40
4,0,82.95421969890594,0.18343742069419816,0.04585935517354954,128,2133,2.3,40
2,0,162.13041615486145,0.09385597383980362,0.04692798691990181,128,2133,2.3,40
1,0,318.1556075811386,0.04782850823519247,0.04782850823519247,128,2133,2.3,40
