cores,input,average_runtime,speedup,efficiency
3,2,0.4219372272491455,1.522383037441241,0.5074610124804136
2,2,0.47397708892822266,1.3552344462083576,0.6776172231041788
1,2,0.6423500776290894,1.0,1.0
32,3,0.49596846103668213,3.1996618182735905,0.0999894318210497
31,3,0.49399101734161377,3.2124700493279637,0.10362806610735367
30,3,0.4893990755081177,3.242612067052551,0.1080870689017517
29,3,0.49396049976348877,3.212668520269975,0.11078167311275776
28,3,0.4905818700790405,3.2347941182402544,0.11552836136572338
27,3,0.4917858839035034,3.22687453989299,0.11951387184788852
26,3,0.4953794479370117,3.203466260975699,0.12321024080675766
25,3,0.49346160888671875,3.215916535892639,0.12863666143570557
24,3,0.491813063621521,3.2266962088429225,0.13444567536845511
23,3,0.4898722171783447,3.2394801995256666,0.14084696519676812
22,3,0.48930609226226807,3.2432282633349874,0.1474194665152267
21,3,0.48870253562927246,3.247233709977768,0.15463017666560802
20,3,0.4931415319442749,3.2180038488956724,0.16090019244478362
19,3,0.49409711360931396,3.2117802434721012,0.16904106544590006
18,3,0.4972097873687744,3.1916735916342236,0.17731519953523464
17,3,0.5001188516616821,3.1731084372730347,0.1866534374866491
16,3,0.5003869533538818,3.1714083215208873,0.19821302009505545
15,3,0.5072044134140015,3.1287806373081875,0.20858537582054584
14,3,0.5104302167892456,3.109007452241453,0.2220719608743895
13,3,0.5210751295089722,3.045494321216995,0.23426879393976885
12,3,0.5287395715713501,3.0013477961008608,0.2501123163417384
11,3,0.533324122428894,2.9755476662478624,0.2705043332952602
10,3,0.5475465059280396,2.8982585600784474,0.2898258560078447
9,3,0.5599795579910278,2.833909426158751,0.31487882512875015
8,3,0.5737736225128174,2.7657795436762775,0.3457224429595347
7,3,0.5940035581588745,2.671585592459596,0.38165508463708514
6,3,0.6223613023757935,2.5498554325101113,0.4249759054183519
5,3,0.6590659618377686,2.4078490465839195,0.4815698093167839
4,3,0.7126164436340332,2.226908124312045,0.5567270310780112
3,3,0.8083395957946777,1.963198828936339,0.6543996096454463
2,3,0.9878039360046387,1.6065246249834064,0.8032623124917032
1,3,1.5869313478469849,1.0,1.0
32,4,0.7027101516723633,5.465999633572868,0.17081248854915212
31,4,0.713860034942627,5.380625393684877,0.17356856108660892
30,4,0.7087912559509277,5.4191038606929425,0.18063679535643143
29,4,0.7182201147079468,5.347961374085104,0.1844124611753484
28,4,0.7205383777618408,5.330754821804426,0.1903841007787295
27,4,0.7134454250335693,5.38375227701312,0.19939823248196742
26,4,0.7206510305404663,5.329921513701894,0.2049969812962267
25,4,0.7262033224105835,5.289170832762213,0.21156683331048853
24,4,0.7257981300354004,5.292123625837571,0.22050515107656546
23,4,0.7408009767532349,5.1849464999133446,0.2254324565179715
22,4,0.7339248657226562,5.2335240444088695,0.23788745656403953
21,4,0.7335991859436035,5.235847456139838,0.24932606933999227
20,4,0.7475200891494751,5.1383414135657,0.256917070678285
19,4,0.7530840635299683,5.100378055465548,0.2684409502876604
18,4,0.7577219009399414,5.069159841868578,0.28161999121492104
17,4,0.7761924266815186,4.94853247663171,0.29109014568421826
16,4,0.7868095636367798,4.881757427801456,0.305109839237591
15,4,0.8020117282867432,4.789223518905692,0.31928156792704615
14,4,0.8282985687255859,4.637232969578624,0.3312309263984731
13,4,0.841220498085022,4.566000757581233,0.3512308275062487
12,4,0.8702983856201172,4.41344427958719,0.3677870232989325
11,4,0.905579686164856,4.241496899975555,0.385590627270505
10,4,0.941489577293396,4.079719546754046,0.40797195467540465
